Product.Name,SAP,Melt.Point,Hot.Tensile,Cold.Tensile,GFN.Raw,GFN.Coated,LOI,Lake,KFB,IO,eco
Custom Coat CAPT 40L-1.3 WJ,380190,204,270,371,NA,41.7,1.67,Yes,Yes,NA,NA
Custom Coat CAPT 80-1.4 PC,380192,194,239,404,NA,75.5,1.72,NA,NA,NA,NA
Custom Coat CarpBros 60-1.5,380366,211,203,368,NA,57.2,1.9,NA,NA,NA,NA
Custom Coat CarpBros 60-1.75 ,380086,212,236,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Carpbros 60-2.0,371117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Carpbros 60-2.0EZ,380508,216,216,NA,NA,NA,NA,NA,Yes,NA,NA
Custom Coat CarpBros 90-3.25,380539,207,NA,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Castwell 70B-4.75R,360830,208,344,NA,75,NA,5.26,Yes,NA,Yes,Yes
Custom Coat Charpipe 75L-2.8,380483,224,343,592,NA,68.5,3.11,Yes,NA,NA,NA
Custom Coat Charpipe 75L-3.0W,369211,227,313,461,NA,NA,3.46,Yes,NA,NA,NA
Custom Coat CM-TEC 70L-2.5,365193,210,274,408,NA,62.6,3,Yes,Yes,NA,NA
Custom Coat Conbraco #1 85-2.0,364112,212,339,NA,NA,NA,2.22,NA,NA,NA,Yes
Custom Coat Coretech 60-1.5,380033,217,191,274,NA,59.9,1.73,NA,NA,NA,NA
Custom Coat Coretech 60-1.75,364411,211,242,360,NA,59.1,2.1,NA,NA,NA,NA
Custom Coat Coretech 60-2.0,362759,213,261,409,NA,58,2.27,NA,NA,NA,NA
Custom Coat Coretech 60-2.5,380063,214,373,462,NA,55.7,2.9,NA,NA,NA,NA
Custom Coat CoreTech 60-2.75,362161,214,354,480,NA,56.4,3.01,NA,NA,NA,NA
Custom Coat Coretech 60L-3.0,362801,220,415,497,NA,55.1,3.43,Yes,NA,NA,NA
Custom Coat CoreTech 70-3.5,380136,226,471,559,NA,62.5,3.88,NA,NA,NA,NA
Custom Coat Coretech 70-4.25B,369669,199,590,714,NA,61.6,4.57,NA,NA,Yes,NA
Custom Coat CSG 60-1.5,380834,213,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Custom Coat Curto 40-215KB,380305,215,202,NA,NA,NA,2.77,NA,Yes,NA,NA
Custom Coat Eagle 60-5.7B-LMS,368853,210,274,497,62.3,NA,5.27,NA,NA,Yes,Yes
Custom Coat Eagle 70-5.4B-F98,368785,210,230,517,71.5,NA,5.17,NA,NA,Yes,Yes
Custom Coat Eagle 95ZCZ-2.5,367209,219,597,642,96.3,NA,2.93,NA,NA,NA,NA
Custom Coat Electro 90-5.3,380036,184,692,992,NA,NA,NA,NA,NA,NA,NA
Custom Coat Frazer 60-3.25,363945,225,454,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Frazer 60-3.75B,369032,221,505,NA,NA,NA,NA,NA,NA,Yes,NA
Custom Coat FrdMtrBx 80-3.5R,380332,224,501,520,NA,65,3.88,NA,NA,Yes,NA
Custom Coat Garmi 40L-1.3,380012,205,288,426,NA,NA,1.67,Yes,Yes,NA,NA
Custom Coat Garmi 45-1.3,380664,212,188,304,NA,50.4,1.62,NA,NA,NA,NA
Custom Coat Garmi 80-1.3,380665,214,155,238,75.6,75.2,1.48,NA,NA,NA,NA
Custom Coat Gartland 70L-3.25,362950,207,446,NA,NA,NA,3.69,Yes,NA,NA,NA
Custom Coat GCI 60-3.0,365691,209,417,532,NA,56.6,3.34,NA,NA,NA,NA
Custom Coat GenAlum 60-2.0,380659,232,249,342,NA,59.1,2.25,NA,NA,NA,NA
Custom Coat Graham 55L-1.5,362745,226,191,268,55,NA,1.74,Yes,NA,NA,NA
Custom Coat Graham 75L-3.5,362747,217,499,661,75.1,NA,3.95,Yes,NA,NA,NA
Custom Coat Graham 90-2.75,362741,219,337,434,88.1,NA,3.03,NA,NA,NA,NA
Custom Coat GredeB 60-3.25,362970,214,NA,NA,69.7,NA,3.66,NA,NA,NA,NA
Custom Coat HAI 110-3.0,380152,204,NA,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat HAI 40L-1.2,380173,202,227,NA,NA,NA,1.56,Yes,Yes,NA,NA
Custom Coat HAI 40L-1.3,380163,203,260,355,NA,40.4,1.73,Yes,Yes,NA,NA
Custom Coat HAI 55-3.0,380154,205,356,NA,NA,NA,3.18,NA,NA,NA,NA
Custom Coat HAI 60-1.7,380261,212,240,320,NA,NA,NA,NA,NA,NA,NA
